Switch type,Switch size,WireLength(m),Area(m^2),Delay(s),Power(J)
Crossbar_centeralized,4,0.00049152,2.7456e-10,8.11535e-11,0.000166414,
Crossbar_centeralized,8,0.00098304,4.1184e-10,1.47369e-10,0.000249621,
Crossbar_centeralized,16,0.00196608,7.3216e-10,2.86308e-10,0.000443771,
Crossbar_centeralized,32,0.00393216,1.3728e-09,5.65106e-10,0.000832071,
Crossbar_centeralized,64,0.00786432,2.60832e-09,1.11996e-09,0.00158093,
Crossbar_centeralized,128,0.0157286,5.07936e-09,2.23041e-09,0.00307866,
Crossbar_centeralized,256,0.0314573,1.00214e-08,4.45173e-09,0.00607412,
Crossbar_distributed,4,0.00049152,1.6016e-10,8.2086e-11,9.70749e-05,
Crossbar_distributed,8,0.00098304,2.288e-10,1.94186e-10,0.000138678,
Crossbar_distributed,16,0.00196608,3.8896e-10,5.4419e-10,0.000235753,
Crossbar_distributed,32,0.00393216,7.0928e-10,1.73486e-09,0.000429903,
Crossbar_distributed,64,0.00786432,1.32704e-09,6.07563e-09,0.000804335,
Crossbar_distributed,128,0.0157286,2.56256e-09,2.26007e-08,0.0015532,
Crossbar_distributed,256,0.0314573,5.0336e-09,8.70237e-08,0.00305093,
Banyan,4,0.00018432,1.6016e-10,3.77409e-11,9.70749e-05,
Banyan,8,0.00043008,2.9744e-10,7.8243e-11,0.000180282,
Banyan,16,0.0009216,5.0336e-10,1.51685e-10,0.000305093,
Banyan,32,0.00190464,8.6944e-10,2.94253e-10,0.000526978,
Banyan,64,0.00387072,1.53296e-09,5.73771e-10,0.000929146,
Banyan,128,0.00780288,2.81424e-09,1.12943e-09,0.00170575,
Banyan,256,0.0156672,5.33104e-09,2.23755e-09,0.00323121,
Paradox,4,0.00012288,9.152e-11,2.31126e-11,5.54714e-05,
Paradox,8,0.00024576,1.3728e-10,4.05021e-11,8.32071e-05,
Paradox,16,0.00049152,2.0592e-10,7.34423e-11,0.000124811,
Paradox,32,0.00098304,3.6608e-10,1.42568e-10,0.000221886,
Paradox,64,0.00196608,6.6352e-10,2.79518e-10,0.000402168,
Paradox,128,0.00393216,1.28128e-09,5.55661e-10,0.0007766,
Paradox,256,0.00786432,2.5168e-09,1.10812e-09,0.00152546,
HierarchicalXbar,4,0.00024576,1.3728e-10,4.05021e-11,8.32071e-05,
HierarchicalXbar,8,0.00049152,2.0592e-10,7.34423e-11,0.000124811,
HierarchicalXbar,16,0.00098304,3.6608e-10,1.42651e-10,0.000221886,
HierarchicalXbar,32,0.00196608,6.6352e-10,2.79648e-10,0.000402168,
HierarchicalXbar,64,0.00393216,1.28128e-09,5.55924e-10,0.0007766,
HierarchicalXbar,128,0.00786432,2.5168e-09,1.10852e-09,0.00152546,
HierarchicalXbar,256,0.0157286,4.98784e-09,2.21375e-09,0.00302319,
